// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43876
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
46644,NaN,5.683996,-8.046311,0.181948,-0.088488,0.037270,0.039968,-0.013193,0.001223,0.004404,0.439389,-0.041257,-0.700463,0.560881,-88.933715,-34.699363,137.947271,NaN,NaN,NaN,NaN,NaN,NaN
46645,NaN,5.683521,-8.046669,0.180945,-0.088955,0.037574,0.039963,-0.016306,0.005226,0.007248,0.439349,-0.041332,-0.700498,0.560862,-88.941615,-34.691947,137.947584,NaN,NaN,NaN,NaN,NaN,NaN
46646,NaN,5.674766,-8.033492,0.198757,-0.102494,0.024584,0.024403,-0.010326,0.006928,0.010819,0.439271,-0.041346,-0.700510,0.560907,-88.944191,-34.683676,137.955221,NaN,NaN,NaN,NaN,NaN,NaN
46647,NaN,5.669318,-8.007620,0.176459,-0.097475,0.048355,-0.000326,-0.014925,0.003936,0.012746,0.439212,-0.041433,-0.700544,0.560906,-88.951849,-34.673123,137.956501,NaN,NaN,NaN,NaN,NaN,NaN
46648,NaN,5.643815,-8.032711,0.150604,-0.055972,0.044866,0.005390,-0.015111,-0.000699,0.017516,0.439136,-0.041522,-0.700583,0.560909,-88.960710,-34.661164,137.959696,NaN,NaN,NaN,NaN,NaN,NaN
46649,NaN,5.697573,-8.057866,0.190832,-0.107258,0.035467,0.057227,-0.017217,-0.004755,0.018026,0.439031,-0.041608,-0.700641,0.560913,-88.973158,-34.647677,137.967089,NaN,NaN,NaN,NaN,NaN,NaN
46650,NaN,5.671509,-8.083340,0.164488,-0.065708,0.032003,0.062945,-0.015032,-0.005601,0.026011,0.438863,-0.041646,-0.700691,0.560979,-88.983549,-34.631012,137.984269,NaN,NaN,NaN,NaN,NaN,NaN
46651,NaN,5.714189,-8.114676,0.171868,-0.086726,0.039112,0.113057,-0.022707,-0.005786,0.026344,0.438730,-0.041770,-0.700764,0.560982,-88.999598,-34.612767,137.992472,NaN,NaN,NaN,NaN,NaN,NaN
46652,NaN,5.673551,-8.159102,0.152467,-0.033755,0.015350,0.126226,-0.023745,-0.009663,0.033065,0.438590,-0.041922,-0.700845,0.560979,-89.017371,-34.592275,137.999570,NaN,NaN,NaN,NaN,NaN,NaN
46653,NaN,5.652396,-8.152997,0.136074,-0.017283,0.018899,0.108946,-0.020907,-0.014648,0.035179,0.438401,-0.042049,-0.700931,0.561009,-89.035934,-34.569051,138.014026,NaN,NaN,NaN,NaN,NaN,NaN
