// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B4381A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
28791,NaN,-4.007351,8.214587,-2.288032,0.137933,-0.323495,-0.397291,-0.405132,0.586520,-0.099794,0.277963,0.635394,-0.455897,-0.557826,104.515235,27.092803,-92.447819,NaN,NaN,NaN,NaN,NaN,NaN
28792,NaN,-4.212594,8.162457,-2.202807,0.090053,-0.099515,-0.367796,-0.447238,0.543037,-0.052987,0.280406,0.636433,-0.453726,-0.557187,104.422901,27.050138,-92.100981,NaN,NaN,NaN,NaN,NaN,NaN
28793,NaN,-4.325456,8.102122,-2.180333,0.104654,0.039114,-0.373658,-0.472856,0.476657,-0.002645,0.282921,0.637133,-0.451745,-0.556726,104.294770,26.987805,-91.802856,NaN,NaN,NaN,NaN,NaN,NaN
28794,NaN,-4.428693,8.112420,-1.998567,-0.049448,0.163229,-0.358069,-0.483133,0.401512,0.044124,0.285423,0.637494,-0.449973,-0.556471,104.134229,26.912487,-91.559691,NaN,NaN,NaN,NaN,NaN,NaN
28795,NaN,-4.287158,8.307356,-1.596993,-0.466569,0.017849,-0.340401,-0.455234,0.297321,0.053583,0.287629,0.637581,-0.448465,-0.556452,103.961024,26.845311,-91.382108,NaN,NaN,NaN,NaN,NaN,NaN
28796,NaN,-3.979777,8.072218,-1.429996,-0.552570,-0.126161,-0.717473,-0.376835,0.266393,0.028070,0.289439,0.637745,-0.447125,-0.556404,103.824108,26.798730,-91.220486,NaN,NaN,NaN,NaN,NaN,NaN
28797,NaN,-4.162937,7.949267,-1.461867,-0.475199,0.090566,-0.733926,-0.233487,0.310961,-0.010922,0.290787,0.638327,-0.446004,-0.555934,103.785893,26.766250,-91.024439,NaN,NaN,NaN,NaN,NaN,NaN
28798,NaN,-4.379227,8.142188,-1.532722,-0.452918,0.192908,-0.454283,-0.089016,0.375366,-0.062483,0.291668,0.639409,-0.445013,-0.555022,103.850546,26.755324,-90.781055,NaN,NaN,NaN,NaN,NaN,NaN
28799,NaN,-4.552007,8.293976,-1.770291,-0.274473,0.251203,-0.194670,0.014400,0.438468,-0.128227,0.292179,0.640962,-0.444015,-0.553760,103.998031,26.770175,-90.487649,NaN,NaN,NaN,NaN,NaN,NaN
28800,NaN,-4.549301,8.342369,-2.075990,-0.016751,0.186786,-0.088195,0.049879,0.523687,-0.192756,0.292581,0.642940,-0.442771,-0.552248,104.193172,26.809895,-90.131568,NaN,NaN,NaN,NaN,NaN,NaN
28801,NaN,-4.604079,8.330433,-2.521421,0.384574,0.183566,0.024463,0.054455,0.616661,-0.253915,0.293008,0.645312,-0.441214,-0.550500,104.423087,26.867593,-89.707060,NaN,NaN,NaN,NaN,NaN,NaN
28802,NaN,-4.936299,8.399867,-2.782753,0.581972,0.410911,0.294778,0.005237,0.688743,-0.334973,0.293520,0.647979,-0.439137,-0.548752,104.650516,26.960003,-89.224657,NaN,NaN,NaN,NaN,NaN,NaN
28803,NaN,-5.396734,8.546704,-2.672629,0.397573,0.752111,0.607965,-0.098854,0.689498,-0.380034,0.294247,0.650586,-0.436631,-0.547274,104.824313,27.074194,-88.733014,NaN,NaN,NaN,NaN,NaN,NaN
28804,NaN,-5.640374,8.569919,-2.364338,0.061945,0.967230,0.671013,-0.214985,0.606142,-0.376029,0.295173,0.652775,-0.433926,-0.546321,104.907588,27.199009,-88.293685,NaN,NaN,NaN,NaN,NaN,NaN
28805,NaN,-5.573987,8.432175,-2.196552,-0.078440,0.961837,0.486071,-0.286133,0.477687,-0.352783,0.296115,0.654451,-0.431297,-0.545887,104.914151,27.328187,-87.936993,NaN,NaN,NaN,NaN,NaN,NaN
28806,NaN,-5.211178,8.312134,-2.038510,-0.192980,0.683052,0.182293,-0.326357,0.416343,-0.343134,0.297076,0.655871,-0.428666,-0.545733,104.878908,27.462536,-87.620389,NaN,NaN,NaN,NaN,NaN,NaN
28807,NaN,-4.948450,8.353952,-1.937615,-0.287353,0.414533,0.075465,-0.340684,0.404995,-0.343793,0.298058,0.657235,-0.426015,-0.545632,104.834294,27.597883,-87.309880,NaN,NaN,NaN,NaN,NaN,NaN
28808,NaN,-4.922280,8.353488,-1.892864,-0.322496,0.369471,0.054022,-0.365155,0.391974,-0.350053,0.299070,0.658532,-0.423283,-0.545641,104.771867,27.740090,-87.006833,NaN,NaN,NaN,NaN,NaN,NaN
28809,NaN,-4.828763,8.380072,-1.706146,-0.495131,0.261574,-0.007594,-0.393009,0.361391,-0.335233,0.300149,0.659669,-0.420574,-0.545771,104.685323,27.877744,-86.724643,NaN,NaN,NaN,NaN,NaN,NaN
28810,NaN,-4.748098,8.192285,-1.641386,-0.497377,0.256466,-0.218998,-0.393589,0.318749,-0.326800,0.301158,0.660661,-0.417942,-0.546036,104.584731,28.018447,-86.471053,NaN,NaN,NaN,NaN,NaN,NaN
28811,NaN,-4.644408,8.118122,-1.637999,-0.463183,0.174369,-0.330470,-0.379119,0.272666,-0.336541,0.301996,0.661567,-0.415392,-0.546423,104.481184,28.170495,-86.244283,NaN,NaN,NaN,NaN,NaN,NaN
28812,NaN,-4.468361,8.112940,-1.547748,-0.522778,0.000315,-0.436750,-0.373512,0.233246,-0.329212,0.302749,0.662350,-0.412930,-0.546923,104.368017,28.325562,-86.044040,NaN,NaN,NaN,NaN,NaN,NaN
28813,NaN,-4.222817,8.050828,-1.448642,-0.572473,-0.208038,-0.627075,-0.384748,0.231189,-0.351965,0.303473,0.663155,-0.410368,-0.547474,104.250932,28.492855,-85.841039,NaN,NaN,NaN,NaN,NaN,NaN
