// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B4381A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
40473,NaN,-9.530849,0.596411,5.506509,-0.934372,-0.610623,1.154003,0.074432,0.268957,0.419425,0.818147,0.248056,0.427446,-0.293928,16.818362,57.698523,-30.211414
40474,NaN,-9.378055,0.001589,5.055671,-1.543765,-0.821705,0.696789,0.146932,0.116903,0.456529,0.818361,0.249823,0.427125,-0.292297,17.326031,57.685908,-29.717888
40475,NaN,-9.879563,0.179399,4.872379,-1.787334,-0.487618,1.047578,0.363795,0.049050,0.445432,0.818436,0.252327,0.426215,-0.291263,17.923602,57.634035,-29.262128
40476,NaN,-9.944275,0.980664,5.054457,-1.209294,-0.071746,1.319694,0.477549,-0.100622,0.435843,0.818656,0.255082,0.424540,-0.290691,18.539133,57.501419,-28.864563
40477,NaN,-8.393412,1.440099,5.326298,-0.075262,-0.368736,0.224770,0.470006,-0.294862,0.570231,0.819490,0.257777,0.421902,-0.289803,19.197035,57.235107,-28.407710
40478,NaN,-6.853320,1.267494,5.320871,0.468589,-0.912192,-1.104407,0.384577,-0.291572,0.607609,0.820461,0.260231,0.419349,-0.288567,19.835508,56.961742,-27.917284
40479,NaN,-7.163752,0.894417,5.140869,-0.090636,-1.000345,-1.007082,0.356732,-0.157868,0.492558,0.821020,0.262488,0.417526,-0.287573,20.389412,56.779007,-27.504385
40480,NaN,-8.242152,1.050379,4.577732,-0.853240,-0.275635,-0.368764,0.482716,-0.036893,0.453429,0.821088,0.265383,0.416069,-0.286834,21.022233,56.667901,-27.085879
40481,NaN,-8.652292,1.921936,4.359375,-0.614330,0.534057,0.030944,0.670422,-0.065048,0.497468,0.821025,0.269063,0.414160,-0.286346,21.778997,56.528686,-26.643768
40482,NaN,-8.203877,3.116870,4.422009,0.413678,1.149308,-0.061790,0.817909,-0.084982,0.543521,0.820846,0.273442,0.411890,-0.285987,22.652037,56.366544,-26.166134
40483,NaN,-7.601664,4.094462,4.466043,1.362122,1.577973,-0.317981,0.793808,-0.016754,0.565711,0.820578,0.277830,0.409893,-0.285395,23.539751,56.230461,-25.650319
