// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43876
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
33060,NaN,3.306831,9.550097,-1.906714,-0.712263,0.276815,0.443582,-0.204637,-0.042189,0.140877,-0.503958,-0.694855,-0.270072,-0.436192,96.795013,-19.509940,59.838251,NaN,NaN,NaN,NaN,NaN,NaN
33061,NaN,3.460847,8.948805,-1.095489,0.090478,0.229716,-0.158794,-0.198405,-0.025413,0.152218,-0.504335,-0.694643,-0.269020,-0.436745,96.693113,-19.597521,59.808171,NaN,NaN,NaN,NaN,NaN,NaN
33062,NaN,3.843591,8.303986,-0.653025,0.685554,0.554453,-0.681510,-0.173766,-0.076281,0.115244,-0.504773,-0.694553,-0.268017,-0.436997,96.614626,-19.661352,59.750141,NaN,NaN,NaN,NaN,NaN,NaN
33063,NaN,3.826453,8.143030,-0.329647,0.961282,0.442264,-0.871788,-0.142839,-0.142350,0.064591,-0.505304,-0.694617,-0.267094,-0.436847,96.566287,-19.691445,59.655723,NaN,NaN,NaN,NaN,NaN,NaN
33064,NaN,3.750512,8.207669,-0.551614,0.720383,0.461015,-0.812412,-0.132258,-0.194734,0.024945,-0.505952,-0.694769,-0.266196,-0.436403,96.533593,-19.696303,59.532459,NaN,NaN,NaN,NaN,NaN,NaN
33065,NaN,3.797565,8.376611,-1.211395,0.151598,0.753982,-0.567953,-0.126380,-0.219865,-0.026612,-0.506727,-0.694920,-0.265429,-0.435730,96.508343,-19.669543,59.397515,NaN,NaN,NaN,NaN,NaN,NaN
33066,NaN,3.949423,8.615163,-1.527351,-0.068130,0.952544,-0.260736,-0.145941,-0.205032,-0.084428,-0.507673,-0.694912,-0.264853,-0.434991,96.467251,-19.611655,59.275591,NaN,NaN,NaN,NaN,NaN,NaN
33067,NaN,3.715510,8.752812,-1.557522,-0.215232,0.744749,-0.208438,-0.155650,-0.184569,-0.140337,-0.508749,-0.694759,-0.264507,-0.434189,96.415214,-19.522592,59.169790,NaN,NaN,NaN,NaN,NaN,NaN
33068,NaN,3.654676,9.107647,-1.372976,-0.108219,0.505515,0.082950,-0.170540,-0.164134,-0.177614,-0.509926,-0.694474,-0.264304,-0.433386,96.349403,-19.414513,59.078858,NaN,NaN,NaN,NaN,NaN,NaN
33069,NaN,3.497613,9.425982,-1.167013,-0.028333,0.196751,0.306837,-0.208195,-0.134442,-0.228994,-0.511308,-0.693959,-0.264278,-0.432600,96.254923,-19.278356,59.009137,NaN,NaN,NaN,NaN,NaN,NaN
