// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B4381A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
43779,NaN,-5.791246,8.135385,0.189038,-0.107294,0.585650,0.157409,-0.042506,-1.850053,-0.734528,0.054884,0.444177,-0.561848,-0.695716,91.788506,33.805106,-136.165468
43780,NaN,-6.597577,7.992334,0.205647,0.449828,0.973169,0.497323,-0.204482,-1.731933,-0.826470,0.047525,0.440414,-0.559764,-0.700315,91.012814,34.308708,-137.351636
43781,NaN,-7.471945,7.493341,0.299940,1.162396,1.554642,0.594012,-0.278206,-1.785147,-0.856523,0.040071,0.436494,-0.557322,-0.705166,90.158368,34.815558,-138.589263
43782,NaN,-7.749797,7.397691,0.297404,1.414498,1.561702,0.695926,-0.191993,-1.937881,-0.898126,0.031851,0.432116,-0.555055,-0.710053,89.270992,35.330557,-139.952080
43783,NaN,-7.118994,7.552281,0.312099,0.974244,1.001419,0.476127,-0.167277,-1.957967,-0.989913,0.023193,0.427879,-0.552623,-0.714835,88.369528,35.880150,-141.347946
43784,NaN,-7.252519,7.511597,0.299120,1.105427,0.895387,0.535558,-0.165060,-1.907347,-0.987958,0.014673,0.423762,-0.550123,-0.719427,87.465970,36.412061,-142.729200
43785,NaN,-6.706040,7.405121,0.267188,0.839891,0.474831,0.134425,-0.177319,-1.866877,-0.924348,0.006519,0.419571,-0.547657,-0.723871,86.554737,36.890738,-144.097317
43786,NaN,-5.728375,6.912420,0.112472,0.530053,-0.058396,-0.850401,-0.176113,-1.650566,-0.951828,-0.001148,0.416192,-0.545066,-0.727795,85.715085,37.376979,-145.330627
43787,NaN,-5.323954,6.730020,0.160740,0.304862,-0.252379,-1.239137,-0.085987,-1.266725,-1.037985,-0.008267,0.414415,-0.542592,-0.730606,85.076485,37.917031,-146.307069
43788,NaN,-5.516286,6.661833,0.158567,0.429100,-0.246702,-1.176216,-0.066269,-0.896835,-1.074696,-0.014560,0.414059,-0.540088,-0.732563,84.595571,38.489812,-147.032715
43789,NaN,-5.551740,6.557989,0.392053,0.313130,-0.092307,-1.217613,-0.047086,-0.581098,-1.129941,-0.020239,0.414993,-0.537548,-0.733767,84.257060,39.107286,-147.541212
43790,NaN,-6.250515,6.468942,0.570407,0.645496,0.295159,-0.827324,-0.041561,-0.398146,-1.179834,-0.025622,0.416710,-0.534912,-0.734551,83.993035,39.762107,-147.928648
43791,NaN,-7.023094,6.251308,0.610730,1.160588,0.647628,-0.484870,-0.033852,-0.434916,-1.209519,-0.031226,0.418358,-0.532225,-0.735349,83.707849,40.429871,-148.352320
43792,NaN,-7.276008,6.084843,0.783821,1.238849,0.863723,-0.415984,0.002245,-0.610103,-1.199068,-0.037334,0.419306,-0.529633,-0.736395,83.346223,41.078847,-148.917309
43793,NaN,-7.256051,5.966278,0.932387,1.142639,0.924129,-0.487707,0.036024,-0.819705,-1.170145,-0.043957,0.419383,-0.527170,-0.737752,82.890364,41.693609,-149.648751
43794,NaN,-7.125802,5.822482,1.057498,1.015182,0.931918,-0.653186,0.064665,-0.971672,-1.114958,-0.050839,0.418721,-0.524857,-0.739333,82.359846,42.261465,-150.506225
43795,NaN,-7.303194,5.729644,1.370301,0.967566,1.182244,-0.554819,0.084717,-1.135759,-1.067672,-0.058011,0.417303,-0.522655,-0.741165,81.744782,42.782729,-151.498538
43796,NaN,-7.111917,5.857438,1.578048,0.640820,1.113748,-0.553803,0.089635,-1.281156,-1.007164,-0.065350,0.415156,-0.520511,-0.743265,81.041057,43.249207,-152.614083
43797,NaN,-6.988001,5.848767,1.565059,0.558532,0.951051,-0.632704,0.035346,-1.262578,-0.952256,-0.072315,0.412929,-0.518261,-0.745430,80.305780,43.675691,-153.722709
43798,NaN,-7.286862,5.609450,1.549581,0.878215,1.027820,-0.585733,0.007041,-1.238624,-0.912190,-0.079011,0.410669,-0.515955,-0.747595,79.552526,44.071894,-154.823929
43799,NaN,-7.104463,5.432221,1.624862,0.803162,1.003815,-0.814417,0.024652,-1.166143,-0.949880,-0.085687,0.408750,-0.513646,-0.749499,78.831737,44.486457,-155.886712
43800,NaN,-7.568448,5.472279,1.724565,1.010896,1.095085,-0.432965,0.012300,-1.033812,-0.982838,-0.092123,0.407390,-0.511242,-0.751118,78.155192,44.925763,-156.866893
43801,NaN,-8.097612,5.436473,1.828147,1.292790,1.233872,-0.051861,-0.011714,-0.951494,-1.033892,-0.098481,0.406464,-0.508666,-0.752560,77.491333,45.395023,-157.803629
43802,NaN,-8.292658,5.438647,2.132731,1.226657,1.425956,0.155074,-0.044879,-0.891045,-1.078586,-0.104787,0.405872,-0.505868,-0.753913,76.817852,45.889676,-158.717913
43803,NaN,-8.501067,5.384334,2.496758,1.168476,1.694035,0.348834,-0.087437,-0.858075,-1.102915,-0.111003,0.405471,-0.502864,-0.755248,76.120628,46.394170,-159.625195
43804,NaN,-8.572733,5.222307,2.686774,1.170915,1.827392,0.349554,-0.103056,-0.850263,-1.129515,-0.117270,0.405152,-0.499713,-0.756562,75.394093,46.907208,-160.551249
43805,NaN,-8.305601,5.186546,2.883642,0.878413,1.830723,0.191017,-0.123892,-0.827767,-1.146793,-0.123492,0.404956,-0.496449,-0.757826,74.649691,47.424438,-161.479203
