// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43876
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
11971,NaN,3.321952,-9.081386,-0.740269,0.029841,-0.031227,-0.114591,0.011102,-0.028505,-0.012254,-0.476931,0.662625,-0.316245,0.483171,-94.765352,-19.795779,-69.268471
11972,NaN,3.391284,-9.156046,-0.823992,-0.028836,-0.093639,-0.014557,0.001629,-0.026844,-0.006099,-0.476996,0.662693,-0.316155,0.483072,-94.769339,-19.794561,-69.248864
11973,NaN,3.369782,-9.274886,-0.912915,-0.125460,-0.063459,0.096530,0.029499,-0.006478,-0.000534,-0.477132,0.662638,-0.316064,0.483072,-94.753430,-19.791340,-69.241848
11974,NaN,3.343423,-9.169649,-0.798110,-0.023869,-0.040653,-0.020053,0.029246,-0.006963,0.002230,-0.477277,0.662579,-0.315983,0.483064,-94.737365,-19.786316,-69.234725
11975,NaN,3.295418,-9.183141,-0.773940,-0.019013,0.012923,-0.025537,0.010857,-0.007145,-0.001032,-0.477351,0.662572,-0.315934,0.483033,-94.732298,-19.783346,-69.227218
11976,NaN,3.305774,-9.230522,-0.779150,-0.023333,0.017615,0.022804,0.015319,-0.006688,-0.002613,-0.477438,0.662553,-0.315871,0.483014,-94.724238,-19.781102,-69.220017
11977,NaN,3.271938,-9.185108,-0.796739,-0.050327,0.025121,-0.029875,0.016636,-0.006860,-0.001299,-0.477530,0.662531,-0.315807,0.482994,-94.715800,-19.778312,-69.212611
11978,NaN,3.348846,-9.193623,-0.796425,-0.025577,-0.040261,0.004109,0.009821,-0.008254,-0.003833,-0.477598,0.662531,-0.315749,0.482965,-94.711231,-19.776692,-69.204399
11979,NaN,3.339040,-9.143055,-0.813712,-0.043614,-0.055229,-0.045302,0.010817,-0.003599,-0.003566,-0.477661,0.662519,-0.315701,0.482951,-94.705500,-19.775337,-69.198918
11980,NaN,3.363131,-9.141129,-0.787726,-0.011948,-0.069130,-0.040969,0.010197,0.004284,-0.004390,-0.477709,0.662488,-0.315670,0.482966,-94.698151,-19.774626,-69.198286
11981,NaN,3.353317,-9.093720,-0.780502,-0.007384,-0.074929,-0.089314,0.008303,0.008797,-0.003988,-0.477742,0.662452,-0.315657,0.482991,-94.691295,-19.774094,-69.200497
11982,NaN,3.334701,-9.125573,-0.759691,0.004157,-0.041241,-0.067344,-0.003510,0.007740,-0.000690,-0.477748,0.662440,-0.315680,0.482987,-94.691028,-19.771432,-69.202146
11983,NaN,3.368973,-9.164677,-0.789176,-0.013762,-0.068153,-0.016809,0.001017,0.002883,0.001536,-0.477780,0.662428,-0.315687,0.482967,-94.689475,-19.767487,-69.200841
11984,NaN,3.363294,-9.147462,-0.737651,0.033758,-0.053033,-0.038845,-0.002129,0.002253,0.004430,-0.477812,0.662418,-0.315710,0.482934,-94.689457,-19.761644,-69.199415
11985,NaN,3.325406,-9.205050,-0.745691,0.011562,-0.003364,0.002973,-0.005018,0.002111,0.004565,-0.477832,0.662416,-0.315741,0.482896,-94.691481,-19.755909,-69.197905
11986,NaN,3.295731,-9.189783,-0.719583,0.027512,0.025068,-0.023389,-0.003680,0.000167,0.007147,-0.477869,0.662411,-0.315772,0.482847,-94.692734,-19.748417,-69.195349
11987,NaN,3.329343,-9.229098,-0.749405,0.009600,-0.001865,0.027144,-0.000193,-0.005802,0.006568,-0.477922,0.662414,-0.315780,0.482786,-94.693574,-19.741165,-69.189184
11988,NaN,3.251810,-9.223993,-0.724782,0.007613,0.071517,-0.005728,-0.002086,-0.001289,0.006969,-0.477966,0.662408,-0.315803,0.482735,-94.694213,-19.733707,-69.185737
11989,NaN,3.261846,-9.258834,-0.828378,-0.087065,0.039530,0.038339,-0.009415,-0.003658,0.009955,-0.477994,0.662423,-0.315848,0.482657,-94.699831,-19.724635,-69.180947
11990,NaN,3.314014,-9.272566,-0.830726,-0.071236,-0.003392,0.069022,-0.005415,-0.008653,0.003854,-0.478030,0.662448,-0.315851,0.482584,-94.703936,-19.718609,-69.172878
11991,NaN,3.308522,-9.245876,-0.852062,-0.091485,-0.015726,0.043779,0.001502,0.006563,0.007325,-0.478072,0.662416,-0.315885,0.482564,-94.701245,-19.711532,-69.174064
11992,NaN,3.297502,-9.205110,-0.797157,-0.041769,-0.003198,-0.002424,0.000165,0.008508,0.004743,-0.478103,0.662385,-0.315919,0.482555,-94.698627,-19.705805,-69.176450
11993,NaN,3.302556,-9.222574,-0.848269,-0.089031,-0.019478,0.019607,0.001460,0.010107,0.004787,-0.478132,0.662349,-0.315953,0.482552,-94.695283,-19.700332,-69.179725
11994,NaN,3.320955,-9.197192,-0.819294,-0.055148,-0.035976,-0.000247,0.006601,0.020046,0.002428,-0.478160,0.662278,-0.315992,0.482597,-94.686658,-19.696467,-69.188992
11995,NaN,3.262765,-9.163254,-0.789340,-0.045945,0.012387,-0.054017,0.006900,0.016991,0.002206,-0.478191,0.662217,-0.316021,0.482632,-94.678828,-19.692797,-69.196262
11996,NaN,3.278486,-9.227989,-0.845861,-0.097660,0.001265,0.016361,0.005862,0.015880,-0.000598,-0.478216,0.662162,-0.316041,0.482669,-94.671529,-19.690463,-69.202852
11997,NaN,3.273833,-9.204272,-0.841464,-0.095308,-0.001885,-0.007812,0.010563,0.018596,-0.006207,-0.478236,0.662101,-0.316037,0.482735,-94.661440,-19.691653,-69.210674
11998,NaN,3.232106,-9.234753,-0.868827,-0.137967,0.035886,0.008805,0.010565,0.018598,-0.006205,-0.478259,0.662038,-0.316033,0.482801,-94.650985,-19.692645,-69.218634
11999,NaN,3.285805,-9.254423,-0.819992,-0.076883,0.011380,0.041612,0.016102,0.017461,-0.016287,-0.478275,0.661983,-0.315980,0.482896,-94.638109,-19.699546,-69.225232
12000,NaN,3.136244,-9.357158,-0.857143,-0.168871,0.166695,0.090384,0.016602,0.020211,-0.023072,-0.478274,0.661928,-0.315910,0.483018,-94.624143,-19.710242,-69.233343
12001,NaN,3.114993,-9.364677,-0.831266,-0.155125,0.197798,0.088231,0.023442,0.020680,-0.033101,-0.478267,0.661873,-0.315792,0.483177,-94.606668,-19.726856,-69.241367
12002,NaN,3.147933,-9.379156,-0.854454,-0.170849,0.168140,0.114582,0.031883,0.019699,-0.043299,-0.478269,0.661815,-0.315617,0.483369,-94.584377,-19.749076,-69.248189
12003,NaN,3.176541,-9.372797,-0.850083,-0.161724,0.145121,0.117829,0.030345,0.018463,-0.054413,-0.478239,0.661783,-0.315405,0.483580,-94.563774,-19.777779,-69.253433
12004,NaN,3.192234,-9.421772,-0.827720,-0.143450,0.158905,0.167264,0.042845,0.030823,-0.059714,-0.478220,0.661698,-0.315176,0.483866,-94.533170,-19.809874,-69.266237
12005,NaN,3.126884,-9.438545,-0.800659,-0.147683,0.234943,0.158651,0.051296,0.031649,-0.071147,-0.478196,0.661610,-0.314891,0.484195,-94.498088,-19.848685,-69.279053
12006,NaN,3.110834,-9.435529,-0.843613,-0.201764,0.238419,0.153285,0.056398,0.048753,-0.078524,-0.478148,0.661477,-0.314609,0.484607,-94.456288,-19.892311,-69.301901
12007,NaN,3.124109,-9.460168,-0.815608,-0.181241,0.249650,0.178552,0.056524,0.044328,-0.088497,-0.478080,0.661374,-0.314283,0.485026,-94.415843,-19.941587,-69.321448
12008,NaN,3.077580,-9.544198,-0.820301,-0.214745,0.324219,0.241410,0.059234,0.044898,-0.099630,-0.477996,0.661277,-0.313915,0.485479,-94.373492,-19.997071,-69.341048
12009,NaN,3.193479,-9.571140,-0.790559,-0.160454,0.248166,0.303767,0.075878,0.047059,-0.107121,-0.477942,0.661149,-0.313488,0.485983,-94.321612,-20.057060,-69.361564
12010,NaN,3.273048,-9.432146,-0.738389,-0.090766,0.153948,0.196882,0.091629,0.058437,-0.113923,-0.477908,0.660964,-0.313026,0.486565,-94.258014,-20.121256,-69.388872
12011,NaN,3.299364,-9.285674,-0.636293,0.008372,0.120538,0.061511,0.081663,0.063562,-0.118576,-0.477819,0.660799,-0.312586,0.487159,-94.199451,-20.188428,-69.419101
12012,NaN,3.455693,-9.156651,-0.560283,0.125450,-0.029245,-0.010474,0.075289,0.074803,-0.121599,-0.477687,0.660624,-0.312177,0.487788,-94.141770,-20.257639,-69.456200
12013,NaN,3.546553,-9.057653,-0.563373,0.145634,-0.136590,-0.071198,0.058978,0.078595,-0.120532,-0.477495,0.660479,-0.311821,0.488399,-94.092963,-20.326488,-69.495516
12014,NaN,3.551552,-9.033304,-0.528145,0.170537,-0.130537,-0.094307,0.056744,0.085416,-0.106055,-0.477322,0.660298,-0.311534,0.488996,-94.043285,-20.387185,-69.539922
12015,NaN,3.646555,-8.952257,-0.583529,0.143364,-0.253688,-0.133026,0.049169,0.082558,-0.100308,-0.477141,0.660136,-0.311276,0.489556,-93.998846,-20.444587,-69.582388
12016,NaN,3.620414,-8.910151,-0.547992,0.161474,-0.227740,-0.183537,0.031695,0.084294,-0.088330,-0.476930,0.659989,-0.311106,0.490067,-93.963368,-20.495045,-69.626993
12017,NaN,3.671431,-8.863963,-0.610351,0.114099,-0.303377,-0.204529,0.025115,0.080736,-0.078563,-0.476726,0.659854,-0.310974,0.490531,-93.932636,-20.539925,-69.669416
12018,NaN,3.714748,-8.803411,-0.597533,0.136639,-0.354017,-0.246473,0.026649,0.076694,-0.063651,-0.476570,0.659699,-0.310879,0.490951,-93.901222,-20.575931,-69.710499
12019,NaN,3.690809,-8.783281,-0.591212,0.130012,-0.334638,-0.273886,0.013351,0.074811,-0.048010,-0.476410,0.659558,-0.310863,0.491305,-93.877991,-20.603054,-69.750800
12020,NaN,3.677423,-8.807741,-0.616180,0.096337,-0.319368,-0.254019,-0.002377,0.066970,-0.043734,-0.476223,0.659465,-0.310882,0.491600,-93.864954,-20.627268,-69.786813
12021,NaN,3.656442,-8.905889,-0.675854,0.024497,-0.283089,-0.165902,-0.005384,0.062367,-0.027336,-0.476071,0.659367,-0.310951,0.491835,-93.854727,-20.642121,-69.820472
12022,NaN,3.569537,-8.950443,-0.681044,-0.013633,-0.191237,-0.154578,-0.003362,0.064637,-0.021723,-0.475938,0.659247,-0.311040,0.492068,-93.842413,-20.653648,-69.855983
12023,NaN,3.552952,-8.981777,-0.659014,-0.002112,-0.157512,-0.132539,-0.007798,0.056988,-0.015150,-0.475816,0.659149,-0.311142,0.492253,-93.834535,-20.661307,-69.886989
12024,NaN,3.482219,-9.094596,-0.697844,-0.069451,-0.067184,-0.049738,-0.015172,0.054514,-0.012258,-0.475682,0.659068,-0.311267,0.492411,-93.831022,-20.667027,-69.916709
12025,NaN,3.446273,-9.158207,-0.656417,-0.046577,0.000778,-0.005635,-0.009654,0.054388,-0.009707,-0.475572,0.658972,-0.311385,0.492572,-93.824680,-20.671480,-69.946291
