// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B4381A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
51440,NaN,2.794471,8.377670,4.488808,-0.174267,-0.085197,0.092169,-0.015543,0.036861,0.028168,0.332735,0.052841,-0.520600,-0.784520,62.034190,-15.279885,-143.256034,NaN,NaN,NaN,NaN,NaN,NaN
51441,NaN,2.678667,8.453516,4.599617,-0.096937,0.048127,0.176405,-0.012279,0.064447,0.018211,0.332921,0.053065,-0.520487,-0.784500,62.023573,-15.266192,-143.221759,NaN,NaN,NaN,NaN,NaN,NaN
51442,NaN,2.484386,8.420273,4.596506,0.038417,0.162433,0.095550,-0.027644,0.074303,0.017136,0.333138,0.053299,-0.520310,-0.784510,62.004391,-15.250772,-143.182494,NaN,NaN,NaN,NaN,NaN,NaN
51443,NaN,2.308317,8.287721,4.551114,0.132149,0.256103,-0.084161,-0.033861,0.048155,0.018263,0.333288,0.053422,-0.520140,-0.784551,61.983672,-15.241481,-143.156746,NaN,NaN,NaN,NaN,NaN,NaN
51444,NaN,2.259945,8.277982,4.552778,0.164994,0.285153,-0.104362,-0.029562,0.016835,0.011996,0.333336,0.053441,-0.520050,-0.784589,61.971703,-15.238907,-143.149055,NaN,NaN,NaN,NaN,NaN,NaN
51445,NaN,2.362866,8.392260,4.636364,0.104060,0.262681,0.057936,-0.020998,-0.013328,0.016920,0.333317,0.053349,-0.520032,-0.784615,61.966916,-15.245446,-143.155924,NaN,NaN,NaN,NaN,NaN,NaN
51446,NaN,2.500068,8.460944,4.698908,0.005246,0.216252,0.180853,-0.028405,-0.024526,0.019033,0.333285,0.053189,-0.520017,-0.784649,61.960795,-15.257567,-143.167950,NaN,NaN,NaN,NaN,NaN,NaN
51447,NaN,2.602318,8.459236,4.685963,-0.066333,0.147068,0.200452,-0.037256,-0.017393,0.022525,0.333281,0.053039,-0.519943,-0.784710,61.946847,-15.268036,-143.175386,NaN,NaN,NaN,NaN,NaN,NaN
51448,NaN,2.644522,8.383822,4.596162,-0.093423,0.070027,0.106639,-0.023888,0.002007,0.019328,0.333318,0.052990,-0.519902,-0.784725,61.939632,-15.273161,-143.173419,NaN,NaN,NaN,NaN,NaN,NaN
51449,NaN,2.501051,8.358721,4.593025,0.007790,0.155509,0.046070,-0.019288,0.010873,0.011417,0.333340,0.053009,-0.519849,-0.784749,61.932881,-15.270401,-143.169126,NaN,NaN,NaN,NaN,NaN,NaN
51450,NaN,2.386969,8.303580,4.588222,0.072925,0.229703,-0.033078,-0.031800,0.003576,0.011858,0.333354,0.052973,-0.519772,-0.784797,61.921466,-15.271326,-143.168423,NaN,NaN,NaN,NaN,NaN,NaN
51451,NaN,2.399800,8.233855,4.585070,0.033437,0.235127,-0.090452,-0.034910,-0.021790,0.014450,0.333306,0.052830,-0.519713,-0.784866,61.910047,-15.278907,-143.180408,NaN,NaN,NaN,NaN,NaN,NaN
